VotePubkey,VoteCredits,ActivatedStake,Commission,Reward
G8GqFzoEZrxHqV279nYxD5PX1vWWHvxWHkBDkXU2qMy6,360851,264309.9,0,0.0
7jp9iA5QF4VJrV1YZ47FqFDziuZALp9wJSWRLWBa4Lg7,361121,43886.69,7,1.41
HWPnjLn1Mhtv6YuxCDY58pJVqFrurruWPTXFVSVQC6Cj,360668,8386.5,100,4.84
6R5CUCLED6k12kU9Zpt5A5M55xh48UX2X595qp27wgsf,357032,37618.87,7,1.22
HVuzQEZtxQycpfJsLNAeykrqT2vLzKtUyKaAnNsnKy1A,361114,51298.85,0,0.0
D3DfFvmLBKkX9JJNEpJRXpM1pYTVPQ5dpPQRc9F49xk4,360171,122370.1,5,2.85
EDm2o1age4J871DRYGEaiCYNE1hCNZofRNLJcCt3chSS,356408,4017.36,100,1.99
5qdCvzzeCXfGH7EPjfu1fBNjL6DtcwV2w24A2m1xRM9p,360674,53853.18,7,1.91
9KCBBdzx4cGZg14YaqBuZd1tGUvo9ohYnW7KEqQes1E1,360727,135591.49,0,0.0
4VvZyjDj3KNYNbjzgaG5GxX4xeLhcFV6fA6BDPf6dLy4,360932,38204.98,7,1.23
6PnqVv9VAdqMiw5L5pw6AtwP2wvwNq11MDfesxKJgP5F,360806,8461.45,100,0.32
We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,360974,268029.47,0,0.0
4a96rzedYGQVFPz53Vj3mfFGsWSNmb59wHAFZNrNCXyb,361076,58730.02,7,1.94
56L3TcxiGXdYkyn8wAZmGkGJrMRc7ssQTyGAuCRx1BUC,322853,4086.76,100,1.83
H2z3pBT62ByS4jpqsiEMtgN3NUFEuZHiTvoKCFjqCtD6,360335,54073.52,7,1.85
Hm2uPQbdNCRjiwSJnA9edrMVC2PBUPa6qBWfC12RHx1B,360952,51303.27,7,1.83
ErqEyaojEmRu8bhJz74mJy5MgQcyLN1rCQ5frrusAb8A,360323,54233.93,7,1.83
9ZPYFXWnVTjzDUMMJNKzfqCNJaC1SEyRSHtSytAd5meS,360317,38263.06,7,1.22
AAfutJ61CwSB4Y1t5iBPVRRaq33nCDEot4WxbdQ6Bahn,360774,52719.05,7,1.92
2B3zQ7CymNKj2ouGspdxRPjXH4ggh9YeqfyGMgLzb6wS,313558,13862.93,7,1.54
CGj63fS6gJXm8KvaUkkL5yAZvH9cjeRgHCgJwcZZEsRd,360987,52775.13,7,1.77
Hi8vxcjvAoLSDB9a9xjreJBFurMg41UQhNndx3qS1BJW,361117,78105.2,0,0.0
HsUhGC6yKwr8kLC5gdqVLrDfKsGCd2ZAXiabP1WojuzA,360856,230560.79,0,0.0
9gX9MV3nGHRs1R9E52Q3vMg1tNGe5NHvzdfo3AMHnr5t,360754,53585.83,7,1.91
A3sMR7KhVkjheCiaNbDSTAMzgiyRE3Ewm2n26C7iav7y,361084,47646.61,7,1.63
DCkFCCEQCuRTcJ3y4rTnWyXnQsi5abfCFXPZZ7pjPJqG,360908,54894.68,7,1.89
5F2HsNA9j1A27gFH253kxbbsmh4dWUDxFJNFrQuFdXcJ,349360,12567.63,7,1.65
BfVYYC3HBuQW5GLkR1VTyQD7ERGSuX3gBpqX1DJU4Gqq,360833,40302.14,7,1.28
34nZYTMHzQcrWFQ7v47t34B7AzSbJgwLVehaZxTRPQwn,359140,1443.13,7,1.26
AL6ax4FgMDFNXSgahcifrsri5XYqE7Gsk7z91uBputHh,360782,54604.93,7,1.84
HVcSQa6RYzzKAvtRXSp2UZZRKkhhYdgK8KM9RS12EWN9,108818,1.5,100,0.0
Dwd8kB4wJH13JihQAJVvUgUuMCDrJ8CG6Av1XGqNkfN6,360817,8447.36,100,4.0
7ECQ4mUCMpxF8kchT5sHg5JpwV9eves7yme4GB72m1uk,360102,48201.89,7,1.65
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,341245,99744.88,2,0.88
EcZBjDPzSZLdsyKCBq26MZMYFfiinZsfcL3SwWMK1eNL,360729,51311.71,7,1.86
8dHAjvZbnBfi67A7RTBXyMuq6uomJNNyre9guENFGcFD,356286,11723.47,0,0.0
6AdK8MMRrUUN7nn7SPkbiu1FjyL5mJpX8sPAhg3r2JWN,360667,39295.33,7,1.36
3CU8fbSAvMkvHW4YPADYYeq2MupaYa7GVaZDQ4JhUY7M,361025,6053.52,100,0.28
99TxYFsmYwwpg9BjknC4cgSuJ9fnsppehwdHjQzRnkAR,360716,10136.97,100,5.4
53gnaHMxDzGTZ9A58S4jbc1qzhYT4X51thUD4MdSBiyo,360496,53898.82,7,1.94
C2HZnYeF5BBbtAA96iZYcFPv3vqRUur7ZXXYAAZ1GMfw,361605,51945.89,7,1.78
7ikNtivRm2EDHQtnheqSnxkbNvRxMgtmthEAG84V8AEf,360335,475392.53,5,10.78
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,386576,3032813.55,0,0.0
7yXM5mUSAtBuh2TcCABvSJa3LouZ8wcLps5zTEMiwxvj,360689,55953.61,7,1.91
EEkFzX5tE2RvPgWV1Su4uPJwXEubqRpSkarFLzHsV82R,348501,9090.68,100,5.05
FKCcfoLt2pq7boiNqRGucVq5LE1K5Dt4HALCx2WbEQkv,360544,49937.63,7,1.77
8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW,360479,876922.53,3,11.94
